figure_name,mode,paper_use
model_framework,paper,"Overall workflow from synthetic scenario construction to dynamic modeling, equilibrium analysis, policy evaluation, and robustness analysis."
causal_loop_diagram,paper,"Feedback structure linking contribution, public-good stock, demand, maintenance pressure, free-riding, and governance."
synthetic_scenario_dashboard,synthetic,"Baseline scenario overview showing stock, pressure, free-riding, and welfare dynamics across scenarios."
synthetic_stock_trajectory,synthetic,"Baseline public-good stock trajectories across scenarios, illustrating under-provision and divergence in long-run provision quality."
synthetic_nash_social_comparison,synthetic,One-step comparison of aggregate contribution and welfare under Nash-style individual rationality and the stage-wise social-planner benchmark.
synthetic_nash_vs_social_trajectory,synthetic,Dynamic trajectory comparison between Nash-style individual rationality and the stage-wise social-planner benchmark for the critical scenario.
synthetic_welfare_loss_decomposition,synthetic,"Scenario-wise decomposition of free-riding gap, under-provision, and welfare loss."
synthetic_policy_comparison,synthetic,Policy comparison using long-run welfare and free-riding reduction relative to baseline.
synthetic_policy_ablation,synthetic,Ablation-style comparison of policy contributions to welfare improvement and free-riding reduction.
synthetic_subsidy_penalty_welfare_heatmap,synthetic,Two-dimensional response surface of long-run welfare under pure subsidy-penalty combinations from the no-policy baseline.
synthetic_subsidy_penalty_freeriding_heatmap,synthetic,Two-dimensional response surface of long-run free-riding under pure subsidy-penalty combinations from the no-policy baseline.
synthetic_parameter_sensitivity_heatmap,synthetic,Sensitivity heatmap summarizing how key model responses vary across parameter perturbations.
synthetic_phase_portrait,synthetic,Phase portrait of public-good stock and maintenance pressure with an overlaid baseline trajectory.
synthetic_pareto_front,synthetic,"Pareto frontier highlighting trade-offs between policy cost, welfare, and free-riding."
synthetic_monte_carlo_G_uncertainty_band,synthetic,Mean and 95% simulation interval for public-good stock under representative policies.
synthetic_monte_carlo_welfare_uncertainty_band,synthetic,Mean and 95% simulation interval for social welfare under representative policies.
synthetic_policy_decision_matrix,synthetic,Normalized multi-criteria decision matrix comparing representative policies for the critical scenario.
fig_policy_response_surface_3d,synthetic,3D pure subsidy-penalty response surface with welfare as height and average maintenance pressure as color.
fig_pareto_front_3d,synthetic,3D projection of the six-indicator Pareto policy trade-off.
fig_dynamic_phase_3d,synthetic,"Dynamic stock-pressure-welfare trajectories for baseline, reputation, and combined-portfolio policies."
