file,paper_use
synthetic_policy_comparison.csv,Policy ranking by long-run metrics
synthetic_nash_vs_social_optimum.csv,Nash-style individual rationality versus stage-wise social-planner benchmark
synthetic_nash_social_trajectories.csv,Dynamic trajectories under Nash-style individual rationality and the stage-wise social-planner benchmark
synthetic_welfare_loss_decomposition.csv,"Free-riding gap, welfare loss, maintenance pressure"
synthetic_social_optimizer_check.csv,Social-planner optimizer validity check
synthetic_nash_update_diagnostics.csv,Nash-style best-response update diagnostics for the numerical stability table
synthetic_sensitivity_1d.csv,One-dimensional sensitivity results
synthetic_monte_carlo_summary.csv,Monte Carlo robustness summary
synthetic_pareto_front.csv,Random-search Pareto policy set
synthetic_policy_response_surface_3d.csv,Fine-grid pure subsidy-penalty response surface for 3D visualization
synthetic_robustness_summary.csv,Perturbed critical-infrastructure scenario robustness for baseline versus combined portfolio
synthetic_pareto_front_3d_view.csv,Pareto-search data used for the 3D trade-off projection
synthetic_dynamic_phase_3d.csv,Critical-infrastructure trajectories used for the 3D dynamic phase plot
synthetic_behavioral_weight_robustness.csv,Robustness of the Nash-style benchmark to behavioral-response weight perturbations
synthetic_behavioral_policy_ranking.csv,Policy ranking under behavioral-response weight perturbations
synthetic_solver_damping_robustness.csv,Damped best-response solver robustness under alternative damping rates
synthetic_behavioral_weight_oat_robustness.csv,One-at-a-time perturbation check for each Nash-style behavioral-response weight
synthetic_nash_weight_scale_audit.csv,"Audit table documenting the source, interpretation, and tested range of behavioral-response weights"
synthetic_runtime_profile.csv,Runtime profile for reproducibility and full-workflow reporting
